Instance,Database,Schema,Table,Column,TableRowCount,Classification Scope,EAP#23-Masking,HIPAA Status,Information Type,Masking Data Set,Owner,Primary Jurisdiction,Retention Policy,Sensitivity,Treatment Intent,Applicable Regulation: CaCPA,Applicable Regulation: DPA,Applicable Regulation: GDPR,Applicable Regulation: HIPAA,Applicable Regulation: PCI,Applicable Regulation: SOX,Where Used: Pricing,Where Used: Promotions,Where Used: System-DBA,Where Used: WebOrders,Regulatory Notes,Reason for de-scoping,MS_Description
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,AdditionalContactInfo,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,Additional contact information about the person stored in xml format. 
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,BusinessEntityID,59916,Out of scope - System,,,Other,,,,,System,,0,0,0,0,0,0,0,0,0,0,,,Primary key for Person records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,Demographics,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,"Personal information such as hobbies, and income collected from online shoppers. Used for sales analysis."
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,EmailPromotion,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,"0 = Contact does not wish to receive e-mail promotions, 1 = Contact does wish to receive e-mail promotions from AdventureWorks, 2 = Contact does wish to receive e-mail promotions from AdventureWorks and selected partners. "
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,FirstName,59916,,,,Name,,,,,Confidential - GDPR,,0,0,0,0,0,0,0,0,0,0,,,First name of the person.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,LastName,59916,,,,Name,,,,,Confidential - GDPR,,0,0,0,0,0,0,0,0,0,0,,,Last name of the person.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,MiddleName,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,Middle name or middle initial of the person.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,ModifiedDate,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,NameStyle,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,"0 = The data in FirstName and LastName are stored in western style (first name, last name) order.  1 = Eastern style (last name, first name) order."
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,PersonType,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,"Primary type of person: SC = Store Contact, IN = Individual (retail) customer, SP = Sales person, EM = Employee (non-sales), VC = Vendor contact, GC = General contact"
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,rowguid,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,Suffix,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,"Surname suffix. For example, Sr. or Jr."
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Person,Title,59916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,"A courtesy title. For example, Mr. or Ms."
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,PersonPhone,BusinessEntityID,39944,Out of scope - System,,,Other,,,,,System,,0,0,0,0,0,0,0,0,0,0,,,Business entity identification number. Foreign key to Person.BusinessEntityID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,PersonPhone,ModifiedDate,39944,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,PersonPhone,PhoneNumber,39944,,,,Contact Info,,,,,Confidential - GDPR,,0,0,0,0,0,0,0,0,0,0,,,Telephone number identification number.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,PersonPhone,PhoneNumberTypeID,39944,Out of scope - System,,,Other,,,,,System,,0,0,0,0,0,0,0,0,0,0,,System-only identifiers,Kind of phone number. Foreign key to PhoneNumberType.PhoneNumberTypeID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,PhoneNumberType,ModifiedDate,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,PhoneNumberType,Name,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,Name of the telephone number type
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,PhoneNumberType,PhoneNumberTypeID,3,Out of scope - System,,,Other,,,,,System,,0,0,0,0,0,0,0,0,0,0,,,Primary key for telephone number type records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,StateProvince,CountryRegionCode,724,Out of scope - System,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ISO standard country or region code. Foreign key to CountryRegion.CountryRegionCode. 
